F-1,F0,A0,C1,D1,G1,A1,A♯1,C2,C♯2,D2,E2,F2,F♯2,G2,G♯2,A2,A♯2,B2,C3,C♯3,D3,D♯3,E3,F3,F♯3,G3,G♯3,A3,A♯3,B3,C4,C♯4,D4,D♯4,E4,F4,F♯4,G4,G♯4,A4,A♯4,B4,C5,C♯5,D5,D♯5,E5,F5,F♯5,G5,G♯5,A5,A♯5,B5,C6,C♯6,D6,D♯6,E6,F6,F♯6,G6,G♯6,A6,A♯6,C7,D♯7
0,0,0,0,0,0,0,0,37.01,0,0,0,18.45,0,0,15.43,0,0,0,179.75,0,0,0,14.41,0,19.95,45.82,0,0,0,0,28.26,0,0,44.26,27.50,0,11.15,62.12,0,0,18.63,0,0,0,0,11.35,10.67,0,11.20,302.90,10.11,14.93,0,0,0,0,0,0,0,0,0,22.05,0,0,0,0,0
0,0,0,0,0,0,0,0,35.30,0,0,0,10.79,0,10.23,0,15.76,0,0,153.09,0,18.32,0,10.26,0,0,30.10,0,0,0,0,25.07,0,0,25.48,35.51,0,0,51.68,0,0,16.68,0,0,0,0,0,10.59,0,0,151.60,0,17.82,0,0,0,0,0,0,0,0,0,17.26,0,0,0,0,0
0,0,0,0,0,0,0,0,36.88,0,0,0,0,0,0,0,0,0,0,131.82,0,0,0,0,0,0,27.57,0,0,0,0,24.02,0,0,18.99,44.40,0,0,47.78,0,0,18.73,0,0,0,0,0,10.66,0,0,78.62,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,36.96,0,0,0,0,0,0,0,10.19,0,0,84.27,0,0,0,0,0,0,29.06,0,0,0,0,39.90,0,10.76,28.97,36.78,0,12.49,45.82,0,0,14.80,0,0,0,16.28,0,0,0,0,31.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28.17,0,0,0,0,0,0,0,0,0,0,47.75,0,0,0,0,0,0,34.12,0,0,0,0,32.10,0,0,24.75,47.73,12.96,0,69.38,11.58,0,13.61,0,0,0,39.57,0,19.00,0,0,31.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,22.17,0,0,0,0,0,0,0,0,0,0,49.19,0,0,0,0,0,0,34.10,0,0,0,0,29.26,0,0,12.03,61.24,10.13,0,48.60,0,0,0,0,0,0,26.49,0,18.66,0,0,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.50,0,0,0,0,0,0,0,0,0,0,34.27,0,0,0,0,0,0,39.23,0,0,0,0,30.32,0,0,0,53.08,0,0,43.19,0,0,0,0,26.28,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.44,0,0,0,0,0,0,0,0,0,0,24.06,0,0,0,0,0,0,35.73,0,0,0,0,30.26,0,0,0,11.71,0,0,42.05,0,0,0,16.58,39.19,189.86,13.65,0,0,0,0,0,0,0,0,0,11.56,14.15,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,0,15.65,33.58,0,0,0,0,20.70,13.30,13.49,15.87,40.77,0,0,17.51,12.16,0,23.03,20.43,223.30,326.43,23.73,17.50,11.11,10.17,0,0,0,0,0,10.95,27.17,25.80,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0,27.93,0,13.65,0,10.16,25.23,27.06,14.26,12.00,49.29,0,11.17,16.61,14.47,19.69,79.46,177.58,427.63,314.19,21.86,18.68,12.46,0,0,0,0,0,0,50.81,11.70,15.53,0,0,0,0,11.53,30.69,0,0,0,26.02,0
